CompanyName,ProductName,DateObserved,TimeOfDay,Station/Stream,ShowName
Relief Factor,Relief Factor,1/2/23,Evening,The Answer Tampa,America First with Sebastian Gorka
The Container Store,The Container Store,1/2/23,Evening,The Answer Tampa,America First with Sebastian Gorka
Medishare,Medishare,1/2/23,Evening,The Answer Tampa,America First with Sebastian Gorka
SalemNow,Superspreader,1/2/23,Evening,The Answer Tampa,America First with Sebastian Gorka
CoronaCigars,CoronaCigars,1/2/23,Evening,The Answer Tampa,America First with Sebastian Gorka
