CompanyName,ProductName,DateObserved,TimeOfDay,Channel,ShowName
Liberty Mutual,Liberty Mutual Insurance,2/13/21,Evening,Fox News,Special Report
Intuit,Intuit Quickbooks,2/13/21,Evening,Fox News,Special Report
Vroom,Vroom,2/13/21,Evening,Fox News,Special Report
ZipRecruiter,ZipRecruiter,2/13/21,Evening,Fox News,Special Report
ADT,ADT,2/13/21,Evening,Fox News,Special Report
Purple,Purple Mattress,2/13/21,Evening,Fox News,Special Report
Amarin,Vascepa,2/13/21,Evening,Fox News,Special Report
Charter Communications,Spectrum Mobile,2/13/21,Evening,Fox News,Special Report
LegalZoom,LegalZoom,2/13/21,Evening,Fox News,Special Report
Ameritrade,Ameritrade,2/13/21,Evening,Fox News,Special Report
ClearChoice,ClearChoice,2/13/21,Evening,Fox News,Special Report
TrueCar,TrueCar,2/13/21,Evening,Fox News,Special Report
AstraZeneca,Nexium,2/12/21,Morning,Fox News,Fox and Friends
Liberty Mutual,Liberty Mutual Insurance,2/12/21,Morning,Fox News,Fox and Friends
Balance of Nature,Veggies,2/12/21,Morning,Fox News,Fox and Friends
"Little, Brown and Company",Walk in My Combat Boots,2/12/21,Morning,Fox News,Fox and Friends
GlaxoSmithKline,Voltaren,2/12/21,Morning,Fox News,Fox and Friends
ServiceNow,ServiceNow,2/12/21,Morning,Fox News,Fox and Friends
BDO,BDO,2/12/21,Morning,Fox News,Fox and Friends
Carfax,carfax.com,2/12/21,Morning,Fox News,Fox and Friends
LeafFilter,LeafFilter,2/12/21,Morning,Fox News,Fox and Friends
Ford Motor Company,Lincoln Corsair,2/11/21,Afternoon,Fox News,The FIVE
Sanofi,Dupixent,2/11/21,Afternoon,Fox News,The FIVE
Redex Industries,Udderly Smooth,2/11/21,Afternoon,Fox News,The FIVE
Rocket Mortgage,Rocket Mortgage,2/11/21,Afternoon,Fox News,The FIVE
Charter Communications,Spectrum Business,2/11/21,Afternoon,Fox News,The FIVE
Liberty Mutual,Liberty Mutual Insurance,2/11/21,Afternoon,Fox News,The FIVE
Lexus,RX Series,2/11/21,Afternoon,Fox News,The FIVE
AbbVie,Skyrizi,2/11/21,Afternoon,Fox News,The FIVE
Abbott Laboratories ,Ensure,2/11/21,Afternoon,Fox News,The FIVE
NewDayUSA,NewDayUSA RefiPlus,2/11/21,Afternoon,Fox News,The FIVE
FoxNation.com,FoxNation.com,2/10/21,Evening,Fox News,Tucker Carlson
MyPillow,MyPillow Towel,2/10/21,Evening,Fox News,Tucker Carlson
Balance of Nature,Veggies,2/10/21,Evening,Fox News,Tucker Carlson
Coventry Direct,Coventry Direct,2/10/21,Evening,Fox News,Tucker Carlson
Charter Communications,Spectrum Mobile,2/10/21,Evening,Fox News,Tucker Carlson
Lear Capital,Lear Capital,2/10/21,Evening,Fox News,Tucker Carlson
MyPillow,MyPillow Sheets,2/10/21,Evening,Fox News,Tucker Carlson
Nutrisystem,Nutrisystem,2/10/21,Evening,Fox News,Tucker Carlson
Go2Bank,Go2Bank,2/10/21,Evening,Fox News,Tucker Carlson
Lively,Lively,2/10/21,Evening,Fox News,Tucker Carlson
Qunol,Qunol Immune Support,2/10/21,Evening,Fox News,Tucker Carlson
Remax,Remax,2/9/21,Afternoon,Fox News,The FIVE
Redex Industries,Udderly Smooth,2/9/21,Afternoon,Fox News,The FIVE
Liberty Mutual,Liberty Mutual Insurance,2/9/21,Afternoon,Fox News,The FIVE
Abbott Laboratories ,Glucerna,2/9/21,Afternoon,Fox News,The FIVE
Safelite Group,Safelite AutoGlass,2/9/21,Afternoon,Fox News,The FIVE
Sleep Number,Sleep Number,2/9/21,Afternoon,Fox News,The FIVE
Chevrolet,Chevy Silverado,2/9/21,Afternoon,Fox News,The FIVE
Allstate,Allstate,2/9/21,Afternoon,Fox News,The FIVE
PureTalk,PureTalk,2/9/21,Afternoon,Fox News,The FIVE
Go2Bank,Go2Bank,2/9/21,Afternoon,Fox News,The FIVE
Hisamitsu,Salonpas,2/8/21,Evening,Fox News,Fox News Primetime
Go2Bank,Go2Bank,2/8/21,Evening,Fox News,Fox News Primetime
Nestle,FiberChoice,2/8/21,Evening,Fox News,Fox News Primetime
WeatherTech,WeatherTech,2/8/21,Evening,Fox News,Fox News Primetime
Purple,Purple Mattress,2/8/21,Evening,Fox News,Fox News Primetime
